DATE ; SOURCE ; PORT ; DESTINATION ; FLAG ; SEQ ; ACK ; WIN ; OPTIONS ; LENGTH
11:42:06;190-0-175-100.gba.solunet.com.ar;2514;com;S;1666861586:1666861706;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2515;com;S;1444571600:1444571720;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2516;com;S;702975955:702976075;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2517;com;S;2016486038:2016486158;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2518;com;S;1002497398:1002497518;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2519;com;S;294189577:294189697;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2520;com;S;1398461889:1398462009;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2521;com;S;1995017329:1995017449;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2522;com;S;921320533:921320653;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2523;com;S;248505708:248505828;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2524;com;S;558621145:558621265;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2525;com;S;1118905776:1118905896;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2526;com;S;1158043116:1158043236;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2527;com;S;1469406826:1469406946;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2528;com;S;492373102:492373222;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2529;com;S;1687855121:1687855241;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2530;com;S;1360633195:1360633315;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2531;com;S;1274977706:1274977826;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2532;com;S;549939990:549940110;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2533;com;S;1109408249:1109408369;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2534;com;S;1283855019:1283855139;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2535;com;S;623143483:623143603;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2536;com;S;709005792:709005912;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2537;com;S;1528805205:1528805325;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2538;com;S;940059508:940059628;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2539;com;S;1190337142:1190337262;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2540;com;S;1484037464:1484037584;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2541;com;S;566224598:566224718;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2542;com;S;788308167:788308287;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2543;com;S;96067834:96067954;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2544;com;S;1226579504:1226579624;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2545;com;S;1551737466:1551737586;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2546;com;S;368629672:368629792;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2547;com;S;527715727:527715847;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2548;com;S;1897998019:1897998139;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2549;com;S;1187006652:1187006772;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2550;com;S;836414851:836414971;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2551;com;S;97200857:97200977;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2552;com;S;964382000:964382120;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2553;com;S;64311516:64311636;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2554;com;S;1940462409:1940462529;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2555;com;S;709004881:709005001;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2556;com;S;1783812004:1783812124;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2557;com;S;2027959598:2027959718;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2558;com;S;763370841:763370961;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2559;com;S;629902483:629902603;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2560;com;S;1167925997:1167926117;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2561;com;S;1590590930:1590591050;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2562;com;S;1025391341:1025391461;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2563;com;S;22267219:22267339;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2564;com;S;1838110461:1838110581;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2565;com;S;1314325144:1314325264;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2566;com;S;1221538397:1221538517;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2567;com;S;121272366:121272486;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2568;com;S;1689815904:1689816024;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2569;com;S;424777574:424777694;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2570;com;S;1811461816:1811461936;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2571;com;S;891455149:891455269;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2572;com;S;378465819:378465939;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2573;com;S;1060801994:1060802114;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2574;com;S;887047860:887047980;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2575;com;S;1083782921:1083783041;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2576;com;S;1055260995:1055261115;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2577;com;S;1170111755:1170111875;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2578;com;S;1956050927:1956051047;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2579;com;S;1016109235:1016109355;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2580;com;S;1684776979:1684777099;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2581;com;S;503501716:503501836;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2582;com;S;1864451598:1864451718;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;mon;com;S;289557681:289557801;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2584;com;S;138098778:138098898;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2585;com;S;1203053650:1203053770;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2586;com;S;2045943531:2045943651;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2587;com;S;155613128:155613248;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2588;com;S;1854989337:1854989457;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2589;com;S;1464992055:1464992175;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2590;com;S;1763007414:1763007534;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2591;com;S;1769477762:1769477882;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2592;com;S;927510383:927510503;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2593;com;S;262496618:262496738;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2594;com;S;1944187333:1944187453;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2595;com;S;1368242046:1368242166;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2596;com;S;1996469549:1996469669;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2597;com;S;755440943:755441063;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2598;com;S;2061395892:2061396012;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2599;com;S;1161699354:1161699474;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;zebrasrv;com;S;628612553:628612673;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;zebra;com;S;126113657:126113777;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;ripd;com;S;545657814:545657934;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;ripngd;com;S;118227196:118227316;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;ospfd;com;S;2052107445:2052107565;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;bgpd;com;S;791895479:791895599;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;ospf6d;com;S;1716341514:1716341634;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;ospfapi;com;S;1585739250:1585739370;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;isisd;com;S;1570200442:1570200562;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2609;com;S;1478292369:1478292489;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2610;com;S;178640618:178640738;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2611;com;S;1503505816:1503505936;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2612;com;S;1661422384:1661422504;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2613;com;S;369358272:369358392;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2614;com;S;64354808:64354928;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2615;com;S;884510772:884510892;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2616;com;S;1885396166:1885396286;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2617;com;S;817987225:817987345;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2618;com;S;2132864374:2132864494;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2619;com;S;1242566005:1242566125;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2620;com;S;1759567823:1759567943;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2621;com;S;1151909946:1151910066;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2622;com;S;1189070135:1189070255;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2623;com;S;651075127:651075247;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2624;com;S;1947905188:1947905308;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2625;com;S;581296706:581296826;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2626;com;S;66975375:66975495;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2627;com;S;253927097:253927217;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;dict;com;S;1897592815:1897592935;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2629;com;S;616917477:616917597;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2630;com;S;1868567734:1868567854;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2631;com;S;1986188842:1986188962;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2632;com;S;1095894460:1095894580;;512;;120
